date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:19	86357/86357	---MCZ	200	added ('OK')	text/html	etag:%221782737961%22	https://www.eivp-paris.fr/	C:/Mes%20Sites%20Web/EIVP/www.eivp-paris.fr/index.html	(from )
16:15:19	605/605	---M-Z	200	added ('OK')	text/plain	date:Mon,%2004%20Mar%202024%2010:02:54%20GMT	https://www.eivp-paris.fr/robots.txt		(from )
16:15:20	52310/52310	---MC-	200	added ('OK')	text/javascript	date:Tue,%2015%20Jul%202025%2000:44:26%20GMT	https://www.google-analytics.com/analytics.js	C:/Mes%20Sites%20Web/EIVP/www.google-analytics.com/analytics.js	(from https://www.eivp-paris.fr/)
16:15:20	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Fri,%2029%20Jun%202018%2008:28:54%20GMT	https://www.eivp-paris.fr/themes/custom/boots/favicon.ico	C:/Mes%20Sites%20Web/EIVP/www.eivp-paris.fr/themes/custom/boots/favicon.ico	(from https://www.eivp-paris.fr/)
16:15:20	6686/6686	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jul%202025%2015:41:06%20GMT	https://www.eivp-paris.fr/sites/default/files/css/css_kcpJl2G6pY5K3VUDCOc-bNWZUn5aisTSW0wP2rqcOn8.css	C:/Mes%20Sites%20Web/EIVP/www.eivp-paris.fr/sites/default/files/css/css_kcpJl2G6pY5K3VUDCOc-bNWZUn5aisTSW0wP2rqcOn8.css	(from https://www.eivp-paris.fr/)
16:15:21	59344/59344	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jan%202024%2021:52:53%20GMT	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/Mes%20Sites%20Web/EIVP/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://www.eivp-paris.fr/)
16:15:21	45723/45723	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jul%202025%2015:41:06%20GMT	https://www.eivp-paris.fr/sites/default/files/css/css_dIe1u7l3b3bO4JQtj3Bjg5-J_avVGaFGxJzqa5eKeMk.css	C:/Mes%20Sites%20Web/EIVP/www.eivp-paris.fr/sites/default/files/css/css_dIe1u7l3b3bO4JQtj3Bjg5-J_avVGaFGxJzqa5eKeMk.css	(from https://www.eivp-paris.fr/)
16:15:21	39221/39221	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jul%202025%2015:41:07%20GMT	https://www.eivp-paris.fr/sites/default/files/css/css_MSCMGc2p1r3Lm15XtYhP6AEk1PD3YxX_w9wGoB5tOgI.css	C:/Mes%20Sites%20Web/EIVP/www.eivp-paris.fr/sites/default/files/css/css_MSCMGc2p1r3Lm15XtYhP6AEk1PD3YxX_w9wGoB5tOgI.css	(from https://www.eivp-paris.fr/)
16:15:21	314405/314405	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Mar%202024%2011:17:36%20GMT	https://www.eivp-paris.fr/themes/custom/boots/assets/css/boots.style.css?szll51	C:/Mes%20Sites%20Web/EIVP/www.eivp-paris.fr/themes/custom/boots/assets/css/boots.stylef8e2.css	(from https://www.eivp-paris.fr/)
16:15:22	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Jun%202018%2008:28:54%20GMT	https://www.eivp-paris.fr/themes/custom/boots/theme-tmp.css?szll51	C:/Mes%20Sites%20Web/EIVP/www.eivp-paris.fr/themes/custom/boots/theme-tmpf8e2.css	(from https://www.eivp-paris.fr/)
